ProjectName,Address,Zipcode,TotalUnits,TotalAffordableUnits,UnitType,HousingType,Status,1PersonHousehold,2PersonHousehold,3PersonHousehold,4PersonHousehold,5PersonHousehold,PropertyManagementCompany,Phone,Website,Longitude,Latitude,Location
M Station,2906 E Martin Luther King Jr Boulevard,78722,150,140,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Foundation Communities,512-474-6767,http://foundcom.org/housing/our-austin-communities/m-station-apartments/,-97.70841372,30.28200722,"(30.2820072186666, -97.7084137218687)"
"Garden Terrace Expansion (aka Garden Terrace, Phase II)",1015 W William Cannon Drive,78745,15,15,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Foundation Communities,512-416-8300,http://foundcom.org/housing/our-austin-communities/garden-terrace/,-97.79342653,30.19864089,"(30.1986408937312, -97.7934265318501)"
"Garden Terrace Expansion (aka Garden Terrace, Phase II)",1015 W William Cannon Drive,78745,15,15,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Foundation Communities,512-416-5300,http://foundcom.org/housing/our-austin-communities/garden-terrace/,-97.79342653,30.19864089,"(30.1986408937312, -97.7934265318501)"
LifeWorks Transitional Living Project,3710 S 2nd Street,78704,12,12,Multifamily,Transitional Housing,Project Completed,30100,24400,38700,43000,46450,Lifeworks,512-735-2100,http://www.lifeworksaustin.org/housing/,-97.77101974,30.22983682,"(30.2298368209301, -97.7710197443868)"
Cornerstone,1322 Lamar Square Drive,78704,30,30,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Mary Lee Foundation,512-443-5777,http://www.maryleefoundation.org/programs-and-services/affordable-housing/,-97.76422389,30.25530621,"(30.2553062066707, -97.7642238885743)"
The Willows,1330 Lamar Square Drive,78704,64,64,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Mary Lee Foundation,512-443-5777,http://www.maryleefoundation.org/programs-and-services/affordable-housing/,-97.76503931,30.2544562,"(30.2544562030313, -97.765039314016)"
Arbor Terrace,2501 S IH-35,78741,120,120,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Foundation Communities,512-610-0817,http://foundcom.org/housing/our-austin-communities/arbor-terrace/,-97.7413955,30.23146027,"(30.2314602729335, -97.7413954956676)"
Sierra Vista (fka Shady Oaks),4320 S Congress Avenue,78745,238,238,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Foundation Communities,512-448-4884,http://foundcom.org/housing/our-austin-communities/sierra-vista-apartments/,-97.7671846,30.2190338,"(30.2190337978803, -97.7671845964581)"
Crossroads Apartments,8801 McCann Drive,78757,14,14,Multifamily,Residential Housing,Project Completed,18100,20650,23250,25800,27900,Foundation Communities,512-452-5987,http://foundcom.org/housing/our-austin-communities/crossroads-apartments/,-97.72944801,30.37273049,"(30.3727304927457, -97.7294480083748)"
904 Lydia,904 Lydia Street,78702,1,1,Single Family,Residential Housing,Project Completed,18100,20650,23250,25800,27900,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org,-97.7285517,30.26740527,"(30.267405274892, -97.7285517036128)"
303 San Saba Street,303 San Saba Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org,-97.71440878,30.25588549,"(30.2558854868315, -97.7144087756145)"
1002 Wheeless Street,1002 Wheeless Street,78702,2,2,Duplex,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org,-97.72775965,30.26797186,"(30.2679718599611, -97.7277596502184)"
809 San Marcos Street,809 San Marcos Street,78702,1,1,Duplex,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org,-97.73115103,30.26721606,"(30.2672160595881, -97.731151025874)"
2320 Santa Rita Street,2320 Santa Rita Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org,-97.71726547,30.25706987,"(30.2570698735729, -97.7172654651854)"
907 Spence Street,907 Spence Street,78702,1,1,Duplex,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org,-97.73580458,30.2586854,"(30.2586854019468, -97.7358045754509)"
1009 E 10th Street,1009 E 10th Street,78702,1,1,Duplex,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org,-97.73057811,30.26842833,"(30.2684283282867, -97.7305781128068)"
Garden Terrace Phase I,1015 W William Cannon Drive,78745,85,85,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Foundation Communities,512-416-8300,http://foundcom.org/housing/our-austin-communities/garden-terrace/,-97.79342653,30.19864089,"(30.1986408937312, -97.7934265318501)"
Garden Terrace Phase I,1015 W William Cannon Drive,78745,85,85,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Foundation Communities,512-416-5300,http://foundcom.org/housing/our-austin-communities/garden-terrace/,-97.79342653,30.19864089,"(30.1986408937312, -97.7934265318501)"
Southwest Trails Apartments,8405 Old Bee Caves Road,78735,160,160,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Foundation Communities,512-301-2442,http://foundcom.org/housing/our-austin-communities/southwest-trails-apartments/,-97.88724303,30.25122411,"(30.2512241070173, -97.8872430326643)"
Ivy Condos,3204 Manchaca Road,78704,8,8,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Easter Seals of Central Texas,512-615-6820,http://www.easterseals.com/centraltx/our-programs/adult-services/community-housing-services/,-97.78266876,30.24027574,"(30.2402757402636, -97.7826687601118)"
1109 Spearson Lane,1109 Spearson Lane,78745,3,3,Single Family,Transitional Housing,Project Completed,30100,24400,38700,43000,46450,Green Doors,512-469-9130,http://www.greendoors.org/,-97.79420218,30.20138457,"(30.2013845727143, -97.7942021779392)"
5406 Village Trail,5406 Village Trail,78744,3,3,Single Family,Transitional Housing,Project Completed,30100,24400,38700,43000,46450,Green Doors,512-469-9130,http://www.greendoors.org/,-97.74598478,30.19478667,"(30.1947866738427, -97.7459847828035)"
702 Plumpton Drive,702 Plumpton Drive,78745,3,3,Single Family,Transitional Housing,Project Completed,30100,24400,38700,43000,46450,Green Doors,512-469-9130,http://www.greendoors.org/,-97.79082191,30.19504682,"(30.1950468158668, -97.7908219142665)"
2505 Village Trail Circle,2505 Village Trail Circle,78744,7,7,Single Family,Transitional Housing,Project Completed,18100,20650,23250,25800,27900,Green Doors,512-469-9130,http://www.greendoors.org/,-97.74598478,30.19478667,"(30.1947866738427, -97.7459847828035)"
2407 S 4th Street,2407 S 4th Street,78704,3,3,Single Family,Transitional Housing,Project Completed,18100,20650,23250,25800,27900,Green Doors,512-469-9130,http://www.greendoors.org/,-97.76324138,30.24261575,"(30.24261574799, -97.7632413782669)"
7605 Elderberry Drive,7605 Elderberry Drive,78745,4,4,Single Family,Transitional Housing,Project Completed,18100,20650,23250,25800,27900,Green Doors,512-469-9130,http://www.greendoors.org/,-97.78944399,30.18569319,"(30.1856931860589, -97.7894439858316)"
2014 Covered Wagon Pass,2014 Covered Wagon Pass,78744,3,3,Single Family,Transitional Housing,Project Completed,30100,24400,38700,43000,46450,Green Doors,512-469-9130,http://www.greendoors.org/,-97.75870203,30.19322232,"(30.1932223225175, -97.7587020302195)"
5611 Teri Road,5611 Teri Road,78744,3,3,Single Family,Transitional Housing,Project Completed,30100,24400,38700,43000,46450,Green Doors,512-469-9130,http://www.greendoors.org/,-97.73381984,30.19275255,"(30.1927525514336, -97.7338198423955)"
904 Neal Street,904 Neal Street,78702,2,2,Duplex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Green Doors,512-469-9130,http://www.greendoors.org/,-97.71005882,30.26846974,"(30.2684697354704, -97.7100588157448)"
908 Neal Street,908 Neal Street,78702,2,2,Duplex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Green Doors,512-469-9130,http://www.greendoors.org/,-97.71023674,30.26860702,"(30.2686070180355, -97.710236739434)"
912 Neal Street,912 Neal Street,78702,1,1,Single Family,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Green Doors,512-469-9130,http://www.greendoors.org/,-97.71035687,30.26871633,"(30.2687163287403, -97.7103568683844)"
916 Neal Street,916 Neal Street,78702,1,1,Single Family,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Green Doors,512-469-9130,http://www.greendoors.org/,-97.7104858,30.26885049,"(30.2688504901787, -97.7104857964919)"
Pecan Springs Commons,5800 Sweeney Circle,78723,46,46,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Green Doors,512-469-9130,http://www.greendoors.org/,-97.67995127,30.30492714,"(30.3049271405972, -97.679951265009)"
Pecan Springs Commons,5807 Sweeney Circle,78723,4,4,FourPlex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Green Doors,512-469-9130,http://www.greendoors.org/,-97.67902669,30.30515003,"(30.3051500320123, -97.679026690365)"
Pecan Springs Commons,5809 Sweeney Circle,78723,4,4,FourPlex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Green Doors,512-469-9130,http://www.greendoors.org/,-97.67907638,30.30536009,"(30.3053600903234, -97.6790763842193)"
Pecan Springs Commons,5802 Sweeney Circle,78723,4,4,FourPlex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Green Doors,512-469-9130,http://www.greendoors.org/,-97.67995095,30.30511141,"(30.3051114099162, -97.6799509532124)"
Pecan Springs Commons,5804 Sweeney Circle,78723,4,4,FourPlex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Green Doors,512-469-9130,http://www.greendoors.org/,-97.67984055,30.3052934,"(30.3052934003297, -97.6798405537649)"
Pecan Springs Commons,5805 Sweeney Circle,78723,4,4,FourPlex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Green Doors,512-469-9130,http://www.greendoors.org/,-97.67900608,30.30489107,"(30.3048910689532, -97.6790060774304)"
Pecan Springs Commons,5811 Sweeney Circle,78723,4,4,FourPlex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Green Doors,512-469-9130,http://www.greendoors.org/,-97.67891099,30.3055822,"(30.3055821970179, -97.6789109927531)"
Treaty Oaks,3700 Manchaca Road,78704,47,47,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Green Doors,512-469-9130,http://www.greendoors.org/,-97.78439421,30.23658891,"(30.2365889139842, -97.7843942141951)"
Pecan Springs Commons,5803 Sweeney Circle,78723,4,4,FourPlex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Green Doors,512-469-9130,http://www.greendoors.org/,-97.67916116,30.30478426,"(30.3047842649745, -97.6791611643279)"
Pecan Springs Commons,2907 Sweeney Lane,78723,4,4,FourPlex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Green Doors,512-469-9130,http://www.greendoors.org/,-97.67886233,30.30573796,"(30.3057379612672, -97.6788623309976)"
Pecan Springs Commons,5801 Sweeney Circle,78723,4,4,FourPlex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Green Doors,512-469-9130,http://www.greendoors.org/,-97.67955792,30.30476498,"(30.3047649759407, -97.6795579168422)"
The Super Co-op,1905 Nueces Street,78705,50,50,Multifamily,Student Housing,Project Completed,30100,24400,38700,43000,46450,The College Houses,512-476-5678,https://collegehouses.org/listings/nueces/,-97.74383608,30.28301798,"(30.283017984191, -97.743836076894)"
Franklin Gardens,3522 E Martin Luther King Jr Boulevard,78723,22,22,Multifamily,Senior Housing,Project Completed,30100,24400,38700,43000,46450,PRAK Property Management,512-524-0547,http://www.prakpropertymanagement.com/franklin-gardens.html,-97.6972034,30.28413274,"(30.2841327389135, -97.6972033990871)"
Fort Branch Landing,5841 Techni Center Drive,78721,250,250,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Lincoln Property Company,512-607-5459,http://www.livefortbranchattrumanslanding.com/,-97.66646717,30.27772032,"(30.2777203215007, -97.66646716561)"
2412 Bryan Street,2412 Bryan Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Blackshear Neighborhood Development Corportation,512-476-2222,,-97.71634938,30.26709461,"(30.2670946060283, -97.7163493772762)"
1116 Harvard Street,1116 Harvard Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Blackshear Neighborhood Development Corportation,512-476-2222,,-97.71623872,30.26723972,"(30.2672397186309, -97.7162387220264)"
2503 E 9th Steet,2503 E 9th Steet,78702,1,1,Single Family,Residential Housing,Project Completed,18100,20650,23250,25800,27900,Blackshear Neighborhood Development Corportation,512-476-2222,,-97.71430575,30.26480387,"(30.2648038720975, -97.7143057513509)"
1905 E 9th Street,1905 E 9th Street,78702,1,1,Single Family,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Blackshear Neighborhood Development Corportation,512-476-2222,,-97.72100129,30.26391813,"(30.2639181308329, -97.7210012928342)"
1705 Rosewood Avenue,1705 Rosewood Avenue,78702,2,2,Duplex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Blackshear Neighborhood Development Corportation,512-476-2222,,-97.72613994,30.26921179,"(30.2692117855035, -97.726139936)"
2102 Chicon Street,2102 Chicon Street,78722,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Blackland Community Development Corporation,512-220-8751,https://www.blacklandcdc.org/housing/,-97.7219492,30.2821393,"(30.2821393008315, -97.7219492022444)"
1700 Martin Luther King Jr Boulevard,1700 Martin Luther King Jr Boulevard,78722,2,2,Duplex,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Blackland Community Development Corporation,512-220-8751,https://www.blacklandcdc.org/,-97.723113,30.27991322,"(30.279913222, -97.7231130036985)"
1804 Martin Luther King Jr Boulevard,1804 Martin Luther King Jr Boulevard,78722,1,1,Single Family,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Blackland Community Development Corporation,512-220-8751,https://www.blacklandcdc.org/,-97.72184558,30.28002492,"(30.2800249156769, -97.72184557843)"
2113 Salina Street,2113 Salina Street,78722,1,1,Single Family,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Blackland Community Development Corporation,512-220-8751,https://www.blacklandcdc.org/housing/,-97.72262411,30.28253519,"(30.2825351864182, -97.7226241091127)"
1803 E 22nd Steet,1803 E 22nd Steet,78722,2,2,Duplex,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Blackland Community Development Corporation,512-220-8751,https://www.blacklandcdc.org/,-97.72241774,30.2825633,"(30.2825632988123, -97.7224177428861)"
2111 Salina Street,2111 Salina Street,78722,1,1,Single Family,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Blackland Community Development Corporation,512-220-8751,https://www.blacklandcdc.org/housing/,-97.72259173,30.28239544,"(30.2823954412867, -97.7225917302666)"
2107 Salina Street,2107 Salina Street,78722,1,1,Single Family,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Blackland Community Development Corporation,512-220-8751,https://www.blacklandcdc.org/housing/,-97.72255917,30.28208674,"(30.2820867380412, -97.7225591677977)"
2009 Salina Street,2009 Salina Street,78722,6,6,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Blackland Community Development Corporation,512-220-8751,https://www.blacklandcdc.org/housing/,-97.72228345,30.28139533,"(30.2813953297002, -97.7222834520494)"
2110 Salina Street,2110 Salina Street,78722,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Blackland Community Development Corporation,512-220-8751,https://www.blacklandcdc.org/housing/,-97.72303482,30.28236494,"(30.2823649447706, -97.7230348223138)"
1803 E 20th Street,1803 E 20th Street,78722,8,8,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Blackland Community Development Corporation,512-220-8751,https://www.blacklandcdc.org/housing/,-97.7219761,30.28050064,"(30.2805006367646, -97.7219761033775)"
2106 Chestnut Avenue,2106 Chestnut Avenue,78722,1,1,Single Family,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Blackland Community Development Corporation,512-220-8751,https://www.blacklandcdc.org/housing/,-97.71805463,30.2830115,"(30.2830115040421, -97.7180546305809)"
Austin Children's Shelter,4800 Manor Road,78723,28,28,Multifamily,Children's Shelter,Project Completed,30100,24400,38700,43000,46450,Austin's Children Shelter,512-804-3303,http://www.safeaustin.org/austinchildrensshelter/,-97.68906793,30.29563891,"(30.2956389135677, -97.689067926575)"
Austin Travis County MHMR,6222 N Lamar Boulevard,78757,37,37,Multifamily,Transitional Housing,Project Completed,30100,24400,38700,43000,46450,Austin Travis County Integral Care,512-804-3303,http://www.integralcare.org/en/home/,-97.72350971,30.33122925,"(30.3312292507617, -97.7235097123333)"
Austin Travis County MHMR,403 E 15th Street,78721,24,24,Multifamily,Transitional Housing,Project Completed,30100,24400,38700,43000,46450,Austin Travis County Integral Care,512-804-3526,http://www.integralcare.org/en/home/,-97.73574557,30.27559883,"(30.2755988306276, -97.7357455695742)"
Carol's House,1805 Heatherglen Lane,78758,1,1,Single Family,Accessible Housing,Project Completed,30100,24400,38700,43000,46450,Accessible Housing Austin!,512-640-7781,http://ahaustin.org/,-97.70164239,30.39517141,"(30.3951714095675, -97.7016423888114)"
Palms at North Lamar,8600 N Lamar Boulevard,78753,476,215,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,TMG Management,512-837-5556,http://www.tmgpalms.com/,-97.70433045,30.35465331,"(30.3546533088105, -97.704330445112)"
Legacy Apartments,1340 Lamar Square Drive,78704,40,40,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Mary Lee Foundation,512-443-5777,http://www.maryleefoundation.org/programs-and-services/affordable-housing/,-97.76420276,30.25473096,"(30.2547309646977, -97.7642027614895)"
City View at the Park,2000 Woodward Street,78741,70,68,Multifamily,Senior Housing,Project Completed,36120,41280,46440,51600,55740,Capstone Management,512-804-5296,https://capstonemanagement.com/,-97.74342133,30.21848555,"(30.2184855516517, -97.7434213272554)"
Lyons Gardens,2720 Lyons Road,78702,54,53,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Alpha Barnes Real Estate Services,512-236-1781,http://www.lyonsgardens.com/,-97.70918934,30.26457934,"(30.2645793410541, -97.7091893422922)"
Marshall Apartments,1401 E 12th Street,78702,100,100,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,LEDIC Realty Company,334-472-6935,http://www.marshall-apartments.com/,-97.72483049,30.27270376,"(30.2727037607574, -97.7248304939111)"
Elm Ridge Apartments,1161 Harvey Street,78702,130,130,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,LEDIC Realty Company,512-473-8955,http://www.elmridgeapartments.com/,-97.70241945,30.27488959,"(30.2748895873048, -97.7024194499343)"
Allandale Condos,7685 Northcross Drive,78757,10,10,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Platinum Realty,512-925-5392,https://www.platinumrealtyaustin.com/,-97.73569365,30.35421938,"(30.3542193816473, -97.7356936462426)"
Saint Louise House II,2104 Berkett Drive,78745,22,22,Multifamily,Transitional Housing,Project Completed,30100,24400,38700,43000,46450,Saint Louise House,512-326-2774,http://saintlouisehouse.org/,-97.8039315,30.21093638,"(30.2109363836519, -97.8039314961919)"
Manor House,5905 Manor Road,78723,11,11,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Volunteers of America,512-928-2015,https://www.voa.org/housing_properties/manor-house-apartments,-97.67940861,30.30660038,"(30.3066003795593, -97.6794086087417)"
Oak Springs Villas,3001 Oak Springs Drive,78702,56,56,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Volunteers of America,512-928-2015,https://www.voa.org/housing_properties/oak-springs-villas,-97.70126065,30.27269913,"(30.2726991337306, -97.7012606512304)"
Spring Terrace Apartments,7101 N IH-35,78752,140,140,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Foundation Communities,512-492-8980,http://foundcom.org/housing/our-austin-communities/spring-terrace/,-97.70318001,30.33149071,"(30.3314907138636, -97.7031800065299)"
1100 E 10th Street,1100 E 10th Street,78702,1,1,Single Family,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org,-97.72934019,30.26843907,"(30.2684390683833, -97.7293401878146)"
1112 E 10th Street,1112 E 10th Street,78702,1,1,Single Family,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org,-97.72826475,30.26820529,"(30.2682052936843, -97.7282647529115)"
1002 Navasota,1002 Navasota,78702,1,1,Single Family,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org,-97.72672043,30.26771857,"(30.2677185659426, -97.7267204286374)"
1007 Waller Street,1007 Waller Street,78702,1,1,Single Family,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org,-97.7292821,30.26864625,"(30.2686462542793, -97.7292820964329)"
110 Chicon Street,110 Chicon Street,78702,2,2,Single Family,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org,-97.72453329,30.25794518,"(30.2579451814521, -97.7245332918763)"
La Vista de Guadalupe,813 E 8th Street,78702,22,22,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org/,-97.73300722,30.26711898,"(30.2671189761308, -97.7330072179264)"
SOL,5908 Ventus Street,78721,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org/,-97.6847886,30.25864212,"(30.2586421166223, -97.6847885966937)"
SOL,5921 Ventus Street,78721,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org/,-97.68465943,30.25812818,"(30.2581281793287, -97.6846594269009)"
SOL,5916 Lux Street,78721,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org/,-97.68419071,30.25913316,"(30.2591331562492, -97.6841907066182)"
SOL,5929 Lux Street,78721,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org/,-97.68412944,30.25863047,"(30.2586304687906, -97.684129443253)"
SOL,1129 Altum Street,78702,2,2,Duplex,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org/,-97.71731982,30.27039712,"(30.2703971161874, -97.7173198185887)"
SOL,1133 Altum Street,78702,2,2,Duplex,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org/,-97.71731982,30.27039712,"(30.2703971161874, -97.7173198185887)"
7314 Meador Avenue,7314 Meador Avenue,78752,2,2,Duplex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,,,,-97.69525635,30.33148715,"(30.3314871526481, -97.695256354235)"
Meadowood Apartments,9601 Middle Fiskville Road,78758,200,180,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,,,,-97.68500093,30.35940944,"(30.3594094449148, -97.6850009341505)"
Retreat at North Bluff,6212 Crow Lane,78745,240,176,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Merge Management,512-445-0404,http://www.retreatatnorthbluff.com/,-97.77253293,30.20067619,"(30.2006761915042, -97.7725329289596)"
9215 Kempler Drive,9215 Kempler Drive,78748,2,2,Duplex,Accessible Housing,Project Completed,18100,20650,23250,25800,27900,Accessible Housing Austin!,512-640-7781,http://ahaustin.org/aha-accessible-housing-austin/,-97.82150199,30.18065235,"(30.1806523476176, -97.8215019883972)"
2106 Chicon Street,2106 Chicon Street,78722,1,1,Single Family,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Blackland Community Development Corporation,512-220-8751,https://www.blacklandcdc.org/housing/,-97.72201073,30.28241284,"(30.2824128398308, -97.72201072816)"
2004 Chicon Street,2004 Chicon Street,78722,2,2,Duplex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Blackland Community Development Corporation,512-220-8751,https://www.blacklandcdc.org/housing/,-97.72181588,30.28115196,"(30.2811519564407, -97.7218158797085)"
2112 E 8th Street,2112 E 8th Street,78702,1,1,Single Family,Residential Housing,Project Completed,30100,24400,38700,43000,46450,,512-834-0780,,-97.71818467,30.26281963,"(30.2628196288271, -97.718184673049)"
Skyline Terrace,1212 W Ben White Boulevard,78704,100,100,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Foundation Communities,512-440-0300,http://foundcom.org/housing/our-austin-communities/skyline-terrace/,-97.77817812,30.22823613,"(30.2282361267838, -97.7781781202652)"
Homestead Oaks,3226 W Slaughter Lane,78748,140,126,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Foundation Communities,512-610-2222,http://foundcom.org/housing/our-austin-communities/homestead-oaks-apartments/,-97.84472009,30.18153209,"(30.1815320898309, -97.8447200886847)"
Capital Studios,309 E 11th Street,78701,135,135,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Foundation Communities,512-610-7977,http://foundcom.org/housing/our-austin-communities/capital-studios/,-97.73808578,30.27175218,"(30.2717521801568, -97.7380857836883)"
Bluebonnet Studios SRO,2301 S Lamar Boulevard,78704,107,107,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Foundation Communities,512-617-4441,http://foundcom.org/housing/our-austin-communities/bluebonnet-studios/,-97.77551651,30.24698735,"(30.2469873500171, -97.7755165142672)"
