ProjectName,Address,Zipcode,TotalUnits,TotalAffordableUnits,UnitType,HousingType,Status,1PersonHousehold,2PersonHousehold,3PersonHousehold,4PersonHousehold,5PersonHousehold,PropertyManagementCompany,Phone,Website,Longitude,Latitude,Location
Lakeline Station,13635 Rutledge Spur,78717,128,128,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Foundation Communities,512-615-4750,http://foundcom.org/housing/our-austin-communities/lakeline-station-apartments/,-97.78034499,30.47625308,"(30.4762530810604, -97.7803449892326)"
Live Oak Trails,8500 US Highway 71 W,78735,58,58,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Foundation Communities,512-610-2240,http://foundcom.org/housing/our-austin-communities/live-oak-trails-apartments/,-97.89008216,30.24855938,"(30.2485593811554, -97.8900821644269)"
Parkwest Condos,10616 Mellow Meadows Drive,78750,1,1,Single Family,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Frameworks Community Development Corporation,512-386-1500,https://frameworkscdc.org/,-97.80172791,30.460423,"(30.4604230013685, -97.8017279083799)"
Edgecreek Condos,12166 Metric Boulevard,78758,2,2,Duplex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Frameworks Community Development Corporation,512-385-1500,https://frameworkscdc.org/,-97.69786173,30.40679119,"(30.4067911937569, -97.6978617266883)"
4904 West Wind Trail,4904 West Wind Trail,78745,4,3,FourPlex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Frameworks Community Development Corporation,512-385-1500,https://frameworkscdc.org/,-97.80338524,30.22744113,"(30.2274411258956, -97.8033852378787)"
4810 West Wind Trail,4810 West Wind Trail,78745,4,4,FourPlex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Frameworks Community Development Corporation,512-385-1500,https://frameworkscdc.org/,-97.80299658,30.2279505,"(30.2279505045048, -97.8029965848418)"
4902 West Wind Trail,4902 West Wind Trail,78745,4,1,FourPlex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Frameworks Community Development Corporation,512-385-1500,https://frameworkscdc.org/,-97.80327228,30.22764242,"(30.2276424167489, -97.8032722816043)"
The Works at Pleasant Valley,2800 Lyons Road,78702,45,45,Multifamily,Transitional Housing,Project Completed,30100,24400,38700,43000,46450,Lifeworks,512-735-2100,http://www.lifeworksaustin.org/housing/,-97.70740009,30.26397344,"(30.263973435801, -97.7074000922684)"
Lucero Apartments (formerly Oak Creek Village),2324 Wilson Street,78704,173,173,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Dominium Management,512-538-1760,https://www.dominiumapartments.com/find-apartment/properties/texas/austin/lucero.html,-97.7562608,30.24222247,"(30.2422224737444, -97.7562607979531)"
Blunn Creek Apartments,607 Woodward Street,78704,280,252,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,,512-220-4748,,-97.75296898,30.225767,"(30.2257669971859, -97.7529689819867)"
Riverside Meadows Apartments,1601 Montopolis Drive,78741,240,240,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,,512-385-9400,,-97.70116657,30.2277183,"(30.2277182996685, -97.7011665701446)"
Stony Creek Apartments,4911 Manchaca Road,78745,132,119,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,M3 Multifamily,512-444-5700,https://www.rentstonycreek.com/,-97.7926596,30.22196473,"(30.2219647316627, -97.7926596045586)"
Wilshire West (fka Princeton Apartments.),4411 Airport Boulevard,78745,90,81,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,M3 Multifamily,512-444-5700,http://www.m3multifamily.com/find-an-apartment/,-97.71337403,30.30116934,"(30.3011693419415, -97.7133740292986)"
Trails at Vintage Creek (fka Village Green Apartments),7224 Northeast Drive,78723,200,180,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Foundation Communities,512-929-9161,http://foundcom.org/housing/our-austin-communities/trails-at-the-vintage-creek-apartments/,-97.68008999,30.32161385,"(30.3216138528759, -97.6800899933422)"
Ivy Condos - Acq of 10 Units (2/5/13),3204 Manchaca Road,78704,10,10,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Easter Seals of Central Texas,512-615-6820,http://www.easterseals.com/centraltx/our-programs/adult-services/community-housing-services/,-97.78266876,30.24027574,"(30.2402757402636, -97.7826687601118)"
Summit Oaks,11607 Sierra Nevada,78759,24,24,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Housing Authority of the City of Austin,512-477-4488,http://www.hatctx.com/summit-oaks/,-97.75509,30.421089,"(30.421089, -97.75509)"
St. James Apartments,5514 Roosevelt Avenue,78756,9,2,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Burlington Ventures,512-476-0111,http://burlingtonventures.com/saint-james-5514-roosevelt/,-97.73296995,30.32693838,"(30.3269383823952, -97.7329699500947)"
Lakeside Engineering - Duplexes,1123 Walton Lane,78721,2,1,Duplex,Residential Housing,Project Completed,48200,55050,61950,68800,74350,,,,-97.687279,30.259234,"(30.259234, -97.687279)"
Lakeside Engineering - Duplexes,1125 Walton Lane,78721,4,2,Duplex,Residential Housing,Project Completed,48200,55050,61950,68800,74350,,,,-97.687285,30.259463,"(30.259463, -97.687285)"
The Point at Ben White,6934 E Ben White Boulevard,78741,250,250,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Capstone Management,512-222-5658,http://thepointeatbenwhite.com/,-97.70358301,30.21631803,"(30.2163180282958, -97.7035830097557)"
Villages at Ben White,7000 E Ben White Boulevard,78741,183,183,Multifamily,Senior Housing,Project Completed,36120,41280,46440,51600,55740,Capstone Management,512-222-5659,http://villagesatbenwhite.com/,-97.70117385,30.21586125,"(30.2158612511363, -97.701173845317)"
Heights on Parmer,1500 Parmer Lane,78727,252,252,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Pedcor Management Corporation,512-7179112,http://www.pedcormanagement.com/Home?ID=270,-97.65173237,30.39047199,"(30.3904719905596, -97.6517323670586)"
William Cannon Apartments,2112 William Cannon Drive,78744,252,252,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Pedcor Management Company,512-792-3534,http://www.pedcormanagement.com/Home?ID=271,-97.7613179,30.18786679,"(30.1878667909073, -97.7613178962303)"
The Paddock at Norwood,1044 Norwood Park Boulevard,78753,228,228,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Capstone Management,512-535-5748,http://paddockatnorwood.com/,-97.69155233,30.3365467,"(30.3365467031889, -97.6915523283137)"
ThinkEast Apartments,1143 Shady Lane,78721,182,182,Multifamily,Residential Housing,Building Permit Issued,36120,41280,46440,51600,55740,Atlantic Pacific Management,512-386-5711,https://www.thinkeastapartments.com/,-97.690776,30.2626,"(30.2626, -97.690776)"
1141 Shady Lane Mixed Use,1141 Shady Lane,78721,3,2,Multifamily,Residential Housing,Building Permit Issued,48200,55050,61950,68800,74350,,,,-97.690803,30.262632,"(30.262632, -97.690803)"
Thornton Flats,2501 Thornton Road,78704,105,11,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PSW Community Management,512-298-4327,http://www.thorntonflats.com/,-97.77277233,30.24309617,"(30.2430961658273, -97.7727723283092)"
Springdale Apartments,5605 Springdale Road,78723,292,292,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Lincoln Property Company,512-354-4427,https://www.reserveatspringdaleapts.com/,-97.67388989,30.29898107,"(30.2989810707065, -97.6738898931607)"
Housing First Oak Springs,3000 Oak Springs Drive,78702,50,50,Multifamily,Transitional Housing,Building Permit Issued,30100,24400,38700,43000,46450,Austin Travis County Integral Care,512-804-3526,http://housingfirstatx.org/,-97.70056603,30.27352219,"(30.2735221853269, -97.7005660266436)"
10th Street Alley Flat,1817 W 10th Street,78703,1,1,ADU,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Clarksville Community Development Corporation,512-323-6762,http://www.clarksvillecdc.org,-97.7651196,30.28133403,"(30.2813340253543, -97.7651195970221)"
Harris Branch Senior Apartments,12433 Dessau Road,78754,216,216,Multifamily,Senior Housing,Project Completed,36120,41280,46440,51600,55740,Capstone Management,877-228-2573,https://harrisbranchseniors.com/,-97.64488191,30.38880659,"(30.3888065941242, -97.6448819144268)"
Urban Oaks,6725 Circle S Road,78745,194,194,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Lincoln Property Company,512-524-0621,https://www.urbanoaksapts.com/,-97.77785641,30.19084454,"(30.1908445370978, -97.7778564092322)"
LaMadrid Apartments,11320 Manchaca Road,78748,95,83,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Accolade Property Management,512-590-9423,http://www.lamadridapartments.com/,-97.82835765,30.16590014,"(30.1659001366289, -97.8283576485475)"
Cardinal Point Apartments,11015 Four Points Drive,78730,120,120,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Foundation Communities,512-381-4599,http://foundcom.org/housing/our-austin-communities/cardinal-point/,-97.84577071,30.39907683,"(30.3990768259772, -97.8457707088684)"
SAMdorosa,6700 Manchaca Road,78745,14,2,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,SAMdorosa Communities,512-653-6287,http://b-austin.com/,-97.80686954,30.20638764,"(30.2063876421874, -97.8068695422754)"
Wildflower Terrace,3801 Berkman Drive,78723,201,171,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,DMA Companies,512-843-3801,https://dmawildflower.com/,-97.6984403,30.2909045,"(30.2909045, -97.6984403)"
Texan West Campus,2616 Salado Street,78705,62,6,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,American Campus Communities,512-478-9811,https://www.americancampus.com/student-apartments/tx/austin/texan-and-vintage-west-campus,-97.745467,30.292272,"(30.292272, -97.745467)"
Quarters at Sterling,709 W 22nd Street,78705,100,10,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,Quarters at Campus,512-310-7627,http://quartersoncampus2.businesscatalyst.com/sterling.html,-97.7459644,30.28498621,"(30.2849862122157, -97.7459643960633)"
Rio West Student Living,2704 Rio Grande Street,78705,76,8,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,Coastal Ridge Real Estate,512-236-1903,https://rioweststudentliving.com/,-97.74454388,30.29296103,"(30.2929610272008, -97.7445438848349)"
Quarters at Cameron,2707 Rio Grande Street,78705,64,6,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,Quarters at Campus,512-310-7627,http://quartersoncampus2.businesscatalyst.com/cameron.html,-97.74391417,30.29239274,"(30.292392736346, -97.7439141695708)"
Quarters at Montgomery,2700 Nueces Street,78705,88,9,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,Quarters at Campus,512-310-7627,http://quartersoncampus2.businesscatalyst.com/,-97.74320662,30.2920704,"(30.2920704003102, -97.7432066152494)"
Texan Tower,2505 San Gabriel Street,78705,74,7,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,Texan Properties,512-476-1976,http://www.texantower.com/,-97.74739903,30.2901088,"(30.2901088028752, -97.7473990250448)"
Block at Pearl - North,901 W 22nd Street,78705,47,5,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,American Campus Communities,512-478-9811,http://www.theblockwestcampus.com/,-97.74663415,30.28606359,"(30.2860635924108, -97.7466341483156)"
Block on Pearl South,900 W 22nd Street,78705,49,5,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,American Campus Communities,512-478-9811,http://www.theblockwestcampus.com/p/student_housing/pearl_south_mobile/austin-tx-78705/the-block-on-campus-6569,-97.74670947,30.28562987,"(30.2856298709677, -97.7467094702945)"
Block on 28th,701 W 28th Street,78705,100,10,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,American Campus Communities,512-478-9811,http://www.theblockwestcampus.com/,-97.74463321,30.29327736,"(30.2932773608244, -97.7446332063935)"
Texan Shoal Creek,2502 Leon Street,78705,79,8,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,Texan Properties,512-476-1976,http://www.texanproperties.net/,-97.74945961,30.28985058,"(30.2898505758531, -97.7494596108765)"
Texan at Pearl,2515 Pearl Street,78705,81,8,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,Texan Properties,512-476-1976,http://www.texanproperties.net/tp/,-97.74625073,30.29064945,"(30.2906494489182, -97.7462507347869)"
Quarters at Grayson,714 W 22nd Street,78705,100,10,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,Quarters on Campus,512-531-0123,http://quartersoncampus2.businesscatalyst.com/grayson.html,-97.74630853,30.28550747,"(30.2855074737524, -97.7463085316981)"
Quarters at Nueces House,2300 Nueces Street,78705,232,23,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,Quarters at Campus,512-531-0123,http://quartersoncampus2.businesscatalyst.com/nueces.html,-97.74390448,30.28679177,"(30.2867917657679, -97.7439044793423)"
Karnes House (fka University Garden Apartments),2222 Rio Grande Street,78705,12,1,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,Quarters at Campus,512-531-0123,http://quartersoncampus2.businesscatalyst.com,-97.74501122,30.28685336,"(30.2868533633147, -97.7450112172395)"
Jefferson at West Campus,600 W 26th Street,78705,364,36,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,American Campus Communities,512-478-9811,https://www.americancampus.com/student-apartments/tx/austin/26-west,-97.74346368,30.29111022,"(30.2911102238676, -97.7434636763484)"
Block on Leon,2510  Leon Street,78705,138,28,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,American Campus Communities,512-478-9811,http://www.theblockwestcampus.com/,-97.7494449,30.29051861,"(30.2905186122491, -97.7494448965295)"
Block on 25th West,2501 Pearl Street,78705,80,8,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,American Campus Communities,512-478-9811,http://www.theblockwestcampus.com/p/student_housing/25_west_mobile/austin-tx-78705/the-block-on-campus-6569,-97.7462254,30.28958455,"(30.2895845545353, -97.7462254006299)"
Block on 25th East,702 W 25th Street,78705,87,9,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,American Campus Communities,512-478-9811,http://www.theblockwestcampus.com/,-97.74515909,30.28957953,"(30.2895795271056, -97.7451590885061)"
Block on Rio Grande,2819 Rio Grande Street,78705,97,20,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,American Campus Communities,512-478-9811,http://www.theblockwestcampus.com/,-97.74366717,30.29507208,"(30.2950720832625, -97.7436671748325)"
Block on 23rd,2222 Pearl Street,78705,99,10,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,American Campus Communities,512-478-9811,http://www.theblockwestcampus.com/,-97.74671373,30.28706135,"(30.2870613453943, -97.7467137347619)"
Galileo,910 W 25th Street,78705,47,5,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,Alex Ray,512-522-6787,http://galileoat25th.com/,-97.74734934,30.28963999,"(30.2896399945585, -97.7473493413822)"
21 Rio,2101 Rio Grande Street,78705,299,30,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,CA Ventures,512-391-1991,https://www.21rio.com/,-97.74474277,30.2842162,"(30.2842161992591, -97.7447427658064)"
904-908 W. 22 1/2 Street,904 W 22nd Street,78705,62,6,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,American Campus Communities,512-478-9811,https://www.americancampus.com/student-apartments/tx/austin/texan-and-vintage-west-campus,-97.74701685,30.28561668,"(30.2856166846052, -97.7470168462638)"
Grand Marc at 26th,510 W 26th Street,78705,138,14,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,Peak Campus,512-501-3461,https://www.grandmarcaustin.com/grandmarc-austin-austin-tx/,-97.74257135,30.29099868,"(30.2909986770952, -97.7425713474858)"
2608 Salado Multifamily,2608 Salado Street,78705,7,1,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,Lynx Property Services,512-326-2722,https://www.saladoliving.com/property/property-details/,-97.74552828,30.29161949,"(30.2916194866166, -97.7455282802996)"
Ellora Apartments,908 W 21st Street,78705,23,2,Multifamily,Student Housing,Project Completed,36120,41280,46440,51600,55740,Ana Santos,512-808-7292,https://www.westcampuselloras.com/,-97.74746589,30.28498076,"(30.2849807633777, -97.7474658943748)"
2401 Longview,2401 Longview Street,78705,70,7,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,San Miguel Management,512-992-1206,https://2401longview.com/,-97.75048641,30.28868985,"(30.2886898539304, -97.750486412531)"
Axis West campus,2505 Longview Street,78705,167,34,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,TPCO,512-961-8999,http://www.axiswestcampus.com/index,-97.75023504,30.29006698,"(30.2900669818974, -97.7502350368063)"
The Quarters at Bandera House,2215 Rio Grande Street,78705,155,16,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,San Miguel Management,512-400-3095,https://www.2215west.com/,-97.74461305,30.28645112,"(30.2864511210888, -97.7446130450185)"
21 Pearl,911 W 21st Street,78705,136,28,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,Lee Properties,512-473-0808,http://21pearlwestcampus.com/,-97.74746147,30.28468462,"(30.2846846204242, -97.7474614704892)"
Woolridge Hall,2400 Nueces Street,78705,304,31,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,EDR Trust,512-651-1139,http://www.2400nuecesapartments.com/,-97.74343837,30.2882158,"(30.2882157993576, -97.7434383723285)"
Callaway House Austin,505 W 22nd Street,78705,219,22,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,American Campus Communities,512-478-9811,https://www.americancampus.com/student-apartments/tx/austin/the-callaway-house-austin,-97.74342091,30.28494112,"(30.2849411232767, -97.7434209056653)"
Regents at 26th,900 W 26th Street,78705,139,14,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,CWS,512-592-5015,https://www.cwsapartments.com/apartments/tx/austin/regents-west-at-26th/,-97.74649449,30.29099695,"(30.29099695188, -97.7464944873157)"
Regents at 24th,2401 San Gabriel Street,78705,93,9,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,CWS,512-592-5015,https://www.cwsapartments.com/apartments/tx/austin/regents-west-at-24th/,-97.74745612,30.28842124,"(30.2884212444376, -97.7474561212131)"
Villas on 26th,800 W 26th Street,78705,182,18,Multifamily,Student Housing,Project Completed,36120,41280,46440,51600,55740,Lauren Levy,512-474-2600,https://www.villason26.com/,-97.74556505,30.2909574,"(30.2909573960403, -97.7455650474619)"
Texan 26th,1009 W 26th Street,78705,206,21,Multifamily,Student Housing,Project Completed,36120,41280,46440,51600,55740,CA Ventures,512-391-1991,https://www.texan26.com/,-97.7481753,30.29058927,"(30.2905892714381, -97.7481752993404)"
Crest at Pearl,706 Martin Luther King Jr Bouelvard,78705,141,28,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,American Campus Communities,512-478-9811,https://www.americancampus.com/student-apartments/tx/austin/crest-at-pearl,-97.74618319,30.28329642,"(30.2832964183937, -97.746183194574)"
Ruth R. Schulze House,915 W 22nd Street,78705,26,8,Multifamily,Student Housing,Building Permit Issued,30100,24400,38700,43000,46450,,,,-97.74790896,30.28523998,"(30.2852399837824, -97.7479089606178)"
The Corner,2504 San Gabriel Street,78705,210,42,Multifamily,Student Housing,Project Completed,36120,41280,46440,51600,55740,Cardinal Group,512-605-0022,https://utcorner.com/,-97.74783117,30.28947518,"(30.2894751790789, -97.7478311696586)"
UH 2100 San Antonio,2100 San Antonio Street,78705,504,50,Multifamily,Student Housing,Project Completed,36120,41280,46440,51600,55740,Scion Group,512-370-2700,http://uhaustin.com/,-97.74312525,30.28418536,"(30.2841853592788, -97.7431252465542)"
Skyloft,507 W 23rd Street,78705,674,68,Multifamily,Student Housing,Project Completed,36120,41280,46440,51600,55740,Campus Advantage,737-207-9400,http://www.campusadv.com/portfolio/skyloft-austin/,-97.743507,30.286358,"(30.286358, -97.743507)"
Texas Alpha House,2501 Nueces Street,78705,17,2,Multifamily,Student Housing,Project Completed,36120,41280,46440,51600,55740,,,,-97.74277481,30.28932076,"(30.2893207610882, -97.7427748148446)"
Villas on San Gabriel II,2414 San Gabriel Street,78705,92,9,Multifamily,Student Housing,Project Completed,36120,41280,46440,51600,55740,Arthur Walston,512-968-3500,https://villasatsangabriel.com/,-97.74789193,30.28884358,"(30.2888435785374, -97.7478919302532)"
70 Rainey Street,70 Rainey Street,78721,173,9,Multifamily,Residential Housing,Building Permit Issued,48200,55050,61950,68800,74350,Worth Ross Management Company,512-476-7010,https://70rainey.com/,-97.73904084,30.25839343,"(30.2583934293919, -97.739040841415)"
AMLI 5350,5350 Burnet Road,78756,174,17,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Amli Residential,844-536-9577,https://www.amli.com/apartments/austin/central-austin/austin/5350,-97.74045001,30.32758219,"(30.3275821884508, -97.7404500075392)"
Texan North Campus (fka Uptown Lofts),5117 N Lamar Boulevard,78751,23,2,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Texan Properties,512-553-5287,http://www.texanproperties.net/tnc/,-97.7301367,30.31935183,"(30.3193518296524, -97.7301366977258)"
Post South Lamar,1500 S Lamar Boulevard,78704,298,30,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,MAA,512-445-9797,http://www.maac.com/texas/austin/post-south-lamar,-97.76452548,30.25255817,"(30.2525581684323, -97.7645254841521)"
Windsor  South Lamar,809 S Lamar Boulevard,78704,116,12,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Windsor Communities,512-445-9000,https://www.windsorsola.com/?_ga=2.131103759.1897859397.1515096511-1912521076.1514995961,-97.76017251,30.25726086,"(30.2572608624833, -97.7601725143492)"
The 704,3401 S Lamar Boulevard,78704,378,38,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,CWS,512-481-7230,https://www.cwsapartments.com/apartments/tx/austin/the-704/,-97.78470969,30.24161307,"(30.2416130700261, -97.7847096867993)"
Lamar Union Apartments,1100 S Lamar Boulevard,78704,441,44,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Greystar,512-524-5500,https://www.lamarunion.com/plaza.html,-97.76185675,30.25598205,"(30.2559820527283, -97.7618567455551)"
Camden Lamar Heights,5400 N Lamar Boulevard,78756,314,31,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Camden,512-459-5400,https://www.camdenliving.com/austin-tx-apartments/camden-lamar-heights,-97.72936801,30.32212319,"(30.3221231908405, -97.7293680099328)"
Gibson Flats,1219 S Lamar Boulevard,78704,95,10,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Greystar,512-326-9000,https://www.greystar.com/properties/austin-tx/gibson-flats-apartments,-97.76226679,30.25408947,"(30.2540894703905, -97.7622667885446)"
Burnet Flats,5453 Burnet Road,78756,103,10,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Greystar,512-280-0332,https://www.greystar.com/properties/austin-tx/burnet-flats-luxury-apartments?sc_lang=en,-97.73956929,30.3301222,"(30.3301222027644, -97.7395692871635)"
The Tree,3715 S 1st Street,78704,336,34,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Greystar,512-524-8000,https://www.greystar.com/properties/austin-tx/tree-apartments?sc_lang=en,-97.76731465,30.22898414,"(30.2289841389543, -97.767314651984)"
Post South Lamar 2,1414 S Lamar Boulevard,78704,350,35,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,MAA,512-445-9797,http://www.maac.com/texas/austin/post-south-lamar,-97.76384153,30.25292514,"(30.2529251388769, -97.7638415274829)"
7EAST,2025 E 7th Street,78702,177,18,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Greystar,512-476-2025,https://www.greystar.com/properties/austin-tx/7east-apartments?sc_lang=en,-97.71947202,30.26156702,"(30.2615670180304, -97.7194720175522)"
Marq on Burnet,6701 Burnet Road,78757,343,34,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,CWS,512-267-5223,https://www.cwsapartments.com/apartments/tx/austin/marq-on-burnet/,-97.73800308,30.34264313,"(30.3426431307462, -97.7380030846538)"
Radius on Grove,2301 Grove Boulevard,78741,160,64,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Pegasus Residential,512-357-3936,http://www.pegasusresidential.com/radius-on-grove-austin-tx,-97.708361,30.223744,"(30.223744, -97.708361)"
Bell South Lamar,2717 S Lamar Boulevard,78704,327,33,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Bell Parnters,877-244-5909,https://www.bellapartmentliving.com/tx/austin/bell-south-lamar/index.aspx,-97.7810716,30.24411799,"(30.2441179932114, -97.781071602873)"
Alexan East 6th Street,2400 E 6th Street,78702,208,21,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Alexan Properties,844-818-2443,https://alexane6.com/,-97.71570636,30.25969828,"(30.2596982820815, -97.7157063633958)"
Corazon,1000 E 5th Street,78702,332,35,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Cap Tex Properties,512-801-3792,http://www.corazonatxapartments.com/,-97.732261,30.26434589,"(30.2643458900374, -97.7322610011026)"
The Seville on 4th Street,1401 E 4th Street,78702,27,3,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Cap Tex Properties,512-801-3792,,-97.72924445,30.26161922,"(30.2616192174149, -97.7292444453369)"
Eastside Station (fka Saltillo Station),1700 E 4th Street,78702,332,51,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Matrix Residential,512-482-8002,http://eastsidestationapts.com/,-97.72514289,30.26085182,"(30.2608518241264, -97.7251428867645)"
Eastside Village,1621 E 6th Street,78702,346,66,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Lincoln Property Company,512-538-1770,http://arnoldaustin.com/,-97.72548725,30.26251461,"(30.2625146101426, -97.7254872494935)"
Saint Louise House,3200 S Lamar Boulevard,78704,24,24,Multifamily,Transitional Housing,Project Completed,30100,24400,38700,43000,46450,Saint Louise House,512-326-2774,http://saintlouisehouse.org/,-97.78530304,30.2419701,"(30.2419701034856, -97.7853030430762)"
Pointe on Rio,1901 Rio Grande Street,78705,122,12,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,Asset Campus Housing,512-298-4781,http://www.pointeonrio.com/,-97.74492906,30.28285304,"(30.2828530414707, -97.7449290577006)"
ADU,5413 Duval Street,78751,1,1,ADU,Residential Housing,Project Completed,48200,55050,61950,68800,74350,,,,-97.71696523,30.31829292,"(30.3182929170268, -97.7169652260291)"
