Organization Name,Category,Connection Status,Connection Color,Location Name,Council District,Location Address,Location City,Location State,Zipcode,Location County,File Name,Application Document,Location
Austin Public Library,Public (Government) Facilities & Entities,,,St. John Library,4,7500 Blessing Avenue,AUSTIN,TX,78752,Travis,Austin Public Library Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205504,"7500 Blessing Avenue
AUSTIN, TX 78752
(30.331949, -97.693032)"
American Institute of Architects - Austin Chapter,"Education, Workforce, & Higher Education",,,,9,801 W. 12th Street,AUSTIN,TX,78701,Travis,American Institute of Architects - Austin Chapter.pdf,http://www.austintexas.gov/edims/document.cfm?id=205419,"801 W. 12th Street
AUSTIN, TX 78701
(30.276127, -97.748698)"
Austin Public Library,Public (Government) Facilities & Entities,,,Little Walnut Creek Library,4,835 W. Rundberg Land,AUSTIN,TX,78758,Travis,Austin Public Library Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205504,"835 W. Rundberg Land
AUSTIN, TX 78758
(30.363664, -97.698295)"
Austin Public Library,Public (Government) Facilities & Entities,,,Recycled Reads,7,5335 Burnet Road,AUSTIN,TX,78756,Travis,Austin Public Library Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205504,"5335 Burnet Road
AUSTIN, TX 78756
(30.327013, -97.739666)"
Austin Independent School District,Public (Government) Facilities & Entities,,,McCallum High,7,5600 Sunshine Dr,AUSTIN,TX,78756,Travis,Austin Independent School District Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205426,"5600 Sunshine Dr
AUSTIN, TX 78756
(30.325919, -97.729345)"
Austin Achieve,"Education, Workforce, & Higher Education",,,,1,5908 Manor Road,AUSTIN,TX,78721,Travis,Austin Achieve.pdf,http://www.austintexas.gov/edims/document.cfm?id=205420,"5908 Manor Road
AUSTIN, TX 78721
(30.306983, -97.67975)"
Workforce Solutions Capital Area,"Education, Workforce, & Higher Education",,,,4,6505 Airport Blvd Ste 101,AUSTIN,TX,78752,Travis,Workforce Solutions Capital Area.pdf,http://www.austintexas.gov/edims/document.cfm?id=205473,"6505 Airport Blvd Ste 101
AUSTIN, TX 78752
(30.33003, -97.715691)"
Austin Public Library,Public (Government) Facilities & Entities,,,Cepeda Library,3,651 N. Pleasant Valley Road,AUSTIN,TX,78702,Travis,Austin Public Library Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205504,"651 N. Pleasant Valley Road
AUSTIN, TX 78702
(30.259785, -97.709632)"
Austin Conv Center,Public (Government) Facilities & Entities,,,African American Cultural Heritage Facility,1,912 E. 11th Street,AUSTIN,TX,78702,Travis,Austin Convention Center.pdf,http://www.austintexas.gov/edims/document.cfm?id=205423,"912 E. 11th Street
AUSTIN, TX 78702
(30.269836, -97.73093)"
African-American Youth Harvest,"Education, Workforce, & Higher Education",,,,1,"6633 Highway 290 East, Suit 307",AUSTIN,TX,78735,Travis,AA Youth Harvest.pdf,http://www.austintexas.gov/edims/document.cfm?id=205417,"6633 Highway 290 East, Suit 307
AUSTIN, TX 78735
(30.320844, -97.692871)"
CommUnityCare (William Cannon Facility),Public (Government) Facilities & Entities,,,William Cannon Facility,2,"6801 South IH-35, #1-E",AUSTIN,TX,78744,Travis,CommUnityCare Health Centers.pdf,http://www.austintexas.gov/edims/document.cfm?id=205436,"6801 South IH-35, #1-E
AUSTIN, TX 78744
(30.188318, -97.771529)"
Entrepreneurs Foundation,"Education, Workforce, & Higher Education",,,,9,"701 Brazos Street Floors 1, 5 and 16",AUSTIN,TX,78701,Travis,Entrepreneurs Founation.pdf,http://www.austintexas.gov/edims/document.cfm?id=205439,"701 Brazos Street Floors 1, 5 and 16
AUSTIN, TX 78701
(30.269196, -97.740908)"
Austin Independent School District,Public (Government) Facilities & Entities,,,LBJ High School / Liberal Arts & Sciences,1,7309 Lazy Creek Dr,AUSTIN,TX,78724,Travis,Austin Independent School District Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205426,"7309 Lazy Creek Dr
AUSTIN, TX 78724
(30.314412, -97.657452)"
Manor ISD,Public (Government) Facilities & Entities,,,Decker Middle School,9,8104 Decker Lane,AUSTIN,TX,78724,Travis,Manor ISD.pdf,http://www.austintexas.gov/edims/document.cfm?id=205450,"8104 Decker Lane
AUSTIN, TX 78724
(30.307199, -97.617693)"
Out Youth Austin,"Social, Health, & Well-Being (including family services)",,,,9,909 E. 49½ St.,AUSTIN,TX,78751,Travis,Out Youth Austin.pdf,http://www.austintexas.gov/edims/document.cfm?id=205454,"909 E. 49&frac12; St.
AUSTIN, TX 78751
(30.308849, -97.714796)"
Austin Independent School District,Public (Government) Facilities & Entities,,,Reagan High,9,7104 Berkman Dr,AUSTIN,TX,78752,Travis,Austin Independent School District Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205426,"7104 Berkman Dr
AUSTIN, TX 78752
(30.323972, -97.689635)"
Austin Theater Alliance,"Arts, Culture, and Community",,,Paramount Theater,9,713 Congress Avenue,AUSTIN,TX,78701,Travis,Austin Theater Alliance.pdf,http://www.austintexas.gov/edims/document.cfm?id=205427,"713 Congress Avenue
AUSTIN, TX 78701
(30.269417, -97.742319)"
Austin Public Library,Public (Government) Facilities & Entities,,,Faulk Central Library,9,800 Guadalupe Street,AUSTIN,TX,78701,Travis,Austin Public Library Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205504,"800 Guadalupe Street
AUSTIN, TX 78701
(30.27114, -97.745495)"
Austin Public Library,Public (Government) Facilities & Entities,,,Austin History Center,,810 Guadalupe Street,AUSTIN,TX,78701,Travis,Austin Public Library Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205504,"810 Guadalupe Street
AUSTIN, TX 78701
(30.271538, -97.745347)"
"Child, Inc.","Social, Health, & Well-Being (including family services)",,,,4,818 E. 53rd Street,AUSTIN,TX,78751,Travis,Child Inc.pdf,http://www.austintexas.gov/edims/document.cfm?id=205435,"818 E. 53rd Street
AUSTIN, TX 78751
(30.313637, -97.7142)"
Austin Independent School District,Public (Government) Facilities & Entities,,,Anderson High,10,8403 Mesa Dr,AUSTIN,TX,78759,Travis,Austin Independent School District Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205426,"8403 Mesa Dr
AUSTIN, TX 78759
(30.376358, -97.754173)"
Travis County Appraisal District,Public (Government) Facilities & Entities,,,,1,8314 Cross Park Drive,AUSTIN,TX,78754,Travis,Travis County Appaisal District.pdf,http://www.austintexas.gov/edims/document.cfm?id=205470,"8314 Cross Park Drive
AUSTIN, TX 78754
(30.335801, -97.671564)"
Huston-Tillotson University,"Education, Workforce, & Higher Education",,,,1,900 Chicon St,AUSTIN,TX,78702,Travis,Huston-Tillotson University.pdf,http://www.austintexas.gov/edims/document.cfm?id=205445,"900 Chicon St
AUSTIN, TX 78702
(30.264591, -97.721209)"
Boys & Girls Clubs of the Austin Area,"Social, Health, & Well-Being (including family services)",,,East Club,1,901 Thompson Street,AUSTIN,TX,78702,Travis,Boys and Girls Club of Austin.pdf,http://www.austintexas.gov/edims/document.cfm?id=205431,"901 Thompson Street
AUSTIN, TX 78702
(30.270801, -97.709306)"
United Way for Greater Austin,"Social, Health, & Well-Being (including family services)",Active,1,,1,2000 E. MLK Jr. Blvd,AUSTIN,TX,78702,Travis,United Way for Greater Austin.pdf,http://www.austintexas.gov/edims/document.cfm?id=205472,"2000 E Martin Luther King Jr. Blvd
AUSTIN, TX 78702
(30.280043, -97.719766)"
River City Youth Foundation,"Social, Health, & Well-Being (including family services)",Active,1,,2,5209 S. Pleasant Valley Road,AUSTIN,TX,78744,Travis,RCYF.pdf,http://www.austintexas.gov/edims/document.cfm?id=205458,"5209 S. Pleasant Valley Road
AUSTIN, TX 78744
(30.195802, -97.744704)"
One Texas Center,Public (Government) Facilities & Entities,Active,1,,9,505 Barton Springs Road,AUSTIN,TX,787041,Travis,One Texas Center.pdf,http://www.austintexas.gov/edims/document.cfm?id=205453,"505 Barton Springs Road
AUSTIN, TX 787041
(30.258402, -97.749542)"
Austin Public Library,Public (Government) Facilities & Entities,Active,1,Twin Oaks Branch,9,1800 S. 5th Street,AUSTIN,TX,78704,Travis,Austin Public Library Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205504,"1800 S. 5th Street
AUSTIN, TX 78704
(30.248863, -97.76174)"
Texas Civil Rights Project,"Social, Health, & Well-Being (including family services)",Active,1,,3,1405 Montopolis Drive,AUSTIN,TX,78741,Travis,Texas Civil Rights Project.pdf,http://www.austintexas.gov/edims/document.cfm?id=205464,"1405 Montopolis Drive
AUSTIN, TX 78741
(30.229821, -97.700334)"
YWCA Greater Austin,"Social, Health, & Well-Being (including family services)",Active,1,,2,2015 S Interstate 35,AUSTIN,TX,78741,Travis,YWCA Austin.pdf,http://www.austintexas.gov/edims/document.cfm?id=205475,"2015 S Interstate 35
AUSTIN, TX 78741
(30.23696, -97.73883)"
Long Center for the Performing Arts,"Arts, Culture, and Community",Active,1,,9,701 W Riverside Dr,AUSTIN,TX,78704,Travis,The Long Center for the Performing Arts.pdf,http://www.austintexas.gov/edims/document.cfm?id=205449,"701 W Riverside Dr
AUSTIN, TX 78704
(30.260963, -97.750198)"
Austin Public Library,Public (Government) Facilities & Entities,Active,1,Manchaca Road Branch,5,5500 Manchaca Road,AUSTIN,TX,78745,Travis,Austin Public Library Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205504,"5500 Manchaca Road
AUSTIN, TX 78745
(30.216327, -97.796899)"
PARD,Public (Government) Facilities & Entities,Active,1,Conley-Guerreo Senior Center,1,808 Nile St,AUSTIN,TX,78702,Travis,PARD Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205455,"808 Nile St
AUSTIN, TX 78702
(30.266048, -97.711018)"
Austin Independent School District,Public (Government) Facilities & Entities,Active,1,Ann Richards School,5,2206 Prather Ln,AUSTIN,TX,78704,Travis,Austin Independent School District Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205426,"2206 Prather Ln
AUSTIN, TX 78704
(30.234747, -97.788031)"
St. Edward’s University,"Education, Workforce, & Higher Education",Active,1,,3,3001 South Congress Avenue,AUSTIN,TX,78704,Travis,St. Edwards University.pdf,http://www.austintexas.gov/edims/document.cfm?id=205463,"3001 South Congress Avenue
AUSTIN, TX 78704
(30.231903, -97.758818)"
Austin Independent School District,Public (Government) Facilities & Entities,Active,1,Travis High,9,1211 E Oltorf St,AUSTIN,TX,78704,Travis,Austin Independent School District Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205426,"1211 E Oltorf St
AUSTIN, TX 78704
(30.234768, -97.743904)"
PARD,Public (Government) Facilities & Entities,Active,1,Carver Museum,1,1165 Angelina St,AUSTIN,TX,78702,Travis,PARD Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205455,"1165 Angelina St
AUSTIN, TX 78702
(30.270157, -97.724565)"
Austin Independent School District,Public (Government) Facilities & Entities,Active,1,Garza,1,1600 Chicon St,AUSTIN,TX,78702,Travis,Austin Independent School District Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205426,"1600 Chicon St
AUSTIN, TX 78702
(30.277589, -97.720737)"
HACA - Booker T. Washington,Public (Government) Facilities & Entities,Active,1,,1,905 Bedford Street,AUSTIN,TX,78702,Travis,HACA.pdf,http://www.austintexas.gov/edims/document.cfm?id=205444,"905 Bedford Street
AUSTIN, TX 78702
(30.27148, -97.707762)"
Austin Public Library,Public (Government) Facilities & Entities,Active,1,Hampton Branch at Oak Hill,8,5125 Convict Hill Road,AUSTIN,TX,78749,Travis,Austin Public Library Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205504,"5125 Convict Hill Road
AUSTIN, TX 78749
(30.218743, -97.854237)"
Austin Independent School District,Public (Government) Facilities & Entities,Active,1,Bowie High,8,4103 W Slaughter Ln,AUSTIN,TX,78745,Travis,Austin Independent School District Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205426,"4103 W Slaughter Ln
AUSTIN, TX 78745
(30.18914, -97.856886)"
Austin Public Library,Public (Government) Facilities & Entities,Active,1,Ruiz Library,3,1600 Grove Blvd.,AUSTIN,TX,78741,Travis,Austin Public Library Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205504,"1600 Grove Blvd.
AUSTIN, TX 78741
(30.230228, -97.706314)"
Austin Theater Alliance,"Arts, Culture, and Community",Active,1,The Vortex,9,2307 Manor Rd.,AUSTIN,TX,78722,Travis,Austin Theater Alliance.pdf,http://www.austintexas.gov/edims/document.cfm?id=205427,"2307 Manor Rd.
AUSTIN, TX 78722
(30.269711, -97.742205)"
Umlauf Sculpture Garden & Museum,"Arts, Culture, and Community",Active,1,,5,605 Robert E. Lee Road,AUSTIN,TX,78704,Travis,Umlauf Sculpture Garden Museum.pdf,http://www.austintexas.gov/edims/document.cfm?id=205471,"605 Robert E. Lee Road
AUSTIN, TX 78704
(30.263866, -97.766207)"
Austin Public Library,Public (Government) Facilities & Entities,Active,1,Southeast Library,2,5803 Nuckols Crossing Road,AUSTIN,TX,78744,Travis,Austin Public Library Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205504,"5803 Nuckols Crossing Road
AUSTIN, TX 78744
(30.187926, -97.742224)"
Austin Public,Public (Government) Facilities & Entities,Active,1,City Community Media Facility,1,1143 Northwestern Avenue,AUSTIN,TX,78702,Travis,channelAustin.pdf,http://www.austintexas.gov/edims/document.cfm?id=205434,"1143 Northwestern Avenue
AUSTIN, TX 78702
(30.269268, -97.716251)"
LifeWorks,"Social, Health, & Well-Being (including family services)",Active,1,,3,835 N. Pleasant Valley Road,AUSTIN,TX,78702,Travis,LifeWorks.pdf,http://www.austintexas.gov/edims/document.cfm?id=205448,"835 N. Pleasant Valley Road
AUSTIN, TX 78702
(30.264563, -97.708247)"
DeWitty Job Training and Employment Center,Public (Government) Facilities & Entities,Active,1,,1,2209 Rosewood Ave,AUSTIN,TX,78702,Travis,Austin Free-Net.pdf,http://www.austintexas.gov/edims/document.cfm?id=205425,"2209 Rosewood Ave
AUSTIN, TX 78702
(30.27021, -97.7159)"
Austin Public Library,Public (Government) Facilities & Entities,Active,1,Carver Library,1,1161 Angelina Street,AUSTIN,TX,78702,Travis,Austin Public Library Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205504,"1161 Angelina Street
AUSTIN, TX 78702
(30.26995, -97.724523)"
City Hall,Public (Government) Facilities & Entities,Active,1,,9,301 W. 2nd Street,Austin,TX,78701,Travis,,,"301 W. 2nd Street
Austin, TX 78701"
Austin Public Library,Public (Government) Facilities & Entities,Active,1,New Central Library,9,710 W. Cesar Chavez St,Austin,TX,78701,Travis,,,"710 W. Cesar Chavez St
Austin, TX 78701"